SNo,Name,Symbol,Date,High,Low,Open,Close,Marketcap
1,Dogecoin,DOGE,16/12/2013 23:59,0.000865874,0.000150213,0.000299312,0.000204731,1509085.16
2,Dogecoin,DOGE,17/12/2013 23:59,0.00028879,0.000115593,0.000206889,0.00026854,2169687.981
3,Dogecoin,DOGE,18/12/2013 23:59,0.000361631,0.000204608,0.000267317,0.000361631,3188943.21
4,Dogecoin,DOGE,19/12/2013 23:59,0.00151967,0.000328303,0.000395054,0.00116249,11150339.22
5,Dogecoin,DOGE,20/12/2013 23:59,0.00114292,0.000661751,0.00114292,0.000703866,7284337.118
6,Dogecoin,DOGE,21/12/2013 23:59,0.000700487,0.000354276,0.000700487,0.000393679,4360316.343
7,Dogecoin,DOGE,22/12/2013 23:59,0.00049758,0.000279653,0.000391157,0.000314762,3706592.188
8,Dogecoin,DOGE,23/12/2013 23:59,0.00045953,0.000293524,0.000312661,0.000451185,5644793.351
9,Dogecoin,DOGE,24/12/2013 23:59,0.000913049,0.000450481,0.000450481,0.000685547,9075937.823
10,Dogecoin,DOGE,25/12/2013 23:59,0.00069368,0.000558298,0.000686299,0.000586701,8194483.244
11,Dogecoin,DOGE,26/12/2013 23:59,0.000705727,0.000543453,0.000588188,0.000601964,8836621.016
12,Dogecoin,DOGE,27/12/2013 23:59,0.000628155,0.000496914,0.000602991,0.0005219,8016603.649
13,Dogecoin,DOGE,28/12/2013 23:59,0.000539981,0.000457638,0.000523966,0.000458533,7374148.777
14,Dogecoin,DOGE,29/12/2013 23:59,0.000492429,0.000398932,0.000458672,0.00045448,7634717.17
15,Dogecoin,DOGE,30/12/2013 23:59,0.00045855,0.000415872,0.000452223,0.000415872,7270541.899
16,Dogecoin,DOGE,31/12/2013 23:59,0.000465694,0.000407671,0.000418176,0.000422246,7689658.673
17,Dogecoin,DOGE,01/01/2014 23:59,0.000450937,0.000422783,0.000422783,0.000439698,8335005
18,Dogecoin,DOGE,02/01/2014 23:59,0.000448595,0.000330562,0.000448595,0.000353052,6935467.097
19,Dogecoin,DOGE,03/01/2014 23:59,0.000376296,0.000292637,0.000353254,0.000302926,6162989.746
20,Dogecoin,DOGE,04/01/2014 23:59,0.000320525,0.000255969,0.00030461,0.000300829,6323971.52
21,Dogecoin,DOGE,05/01/2014 23:59,0.000312138,0.000246607,0.000300493,0.000270724,5883643.912
22,Dogecoin,DOGE,06/01/2014 23:59,0.00029034,0.000226427,0.000271455,0.000254553,5711172.417
23,Dogecoin,DOGE,07/01/2014 23:59,0.000283656,0.000219721,0.000255201,0.00022456,5198193.35
24,Dogecoin,DOGE,08/01/2014 23:59,0.000237656,0.000203028,0.000222877,0.000227534,5422855.087
25,Dogecoin,DOGE,09/01/2014 23:59,0.000268912,0.000212175,0.000227197,0.000245589,6035300.023
26,Dogecoin,DOGE,10/01/2014 23:59,0.000374315,0.000240503,0.00024554,0.000373446,9440391.362
27,Dogecoin,DOGE,11/01/2014 23:59,0.000508538,0.00033411,0.000372948,0.00035644,9264268.562
28,Dogecoin,DOGE,12/01/2014 23:59,0.000374879,0.000322721,0.000358644,0.000345288,9207367.911
29,Dogecoin,DOGE,13/01/2014 23:59,0.000344076,0.000260198,0.000344076,0.000277596,7601922.098
30,Dogecoin,DOGE,14/01/2014 23:59,0.000353728,0.000275926,0.000278246,0.000341641,9605481.363
31,Dogecoin,DOGE,15/01/2014 23:59,0.000440859,0.000341108,0.000341579,0.000413232,11931633.85
32,Dogecoin,DOGE,16/01/2014 23:59,0.000431375,0.000370467,0.000412939,0.00038439,11370074.05
33,Dogecoin,DOGE,17/01/2014 23:59,0.000421715,0.000375525,0.000383865,0.000415466,12561727.17
34,Dogecoin,DOGE,18/01/2014 23:59,0.000646176,0.000416196,0.000416196,0.000588,18272131.5
